#   z            H/c (1/Mpc)           D_A(Mpc)        D_L(Mpc)  d_comoving(Mpc)     Omega_m(z)      c*Age(Mpc) 
   0.3112170E+00   0.2665414E-03   0.9740523E+03   0.1674678E+04   0.1277194E+04   0.1021350E+00   0.3077048E+04
   0.3074224E+00   0.2659390E-03   0.9659780E+03   0.1651198E+04   0.1262941E+04   0.1034942E+00   0.3087933E+04
   0.3326464E+00   0.2699829E-03   0.1018334E+04   0.1808507E+04   0.1357079E+04   0.9482226E-01   0.3016615E+04
   0.3908639E+00   0.2796689E-03   0.1128052E+04   0.2182219E+04   0.1568966E+04   0.7772944E-01   0.2860973E+04
   0.3377437E+00   0.2708114E-03   0.1028545E+04   0.1840642E+04   0.1375930E+04   0.9316975E-01   0.3002496E+04
   0.3738690E+00   0.2767911E-03   0.1097545E+04   0.2071634E+04   0.1507883E+04   0.8233554E-01   0.2905161E+04
   0.3982803E+00   0.2809375E-03   0.1140991E+04   0.2230852E+04   0.1595425E+04   0.7580982E-01   0.2842000E+04
   0.3787472E+00   0.2776129E-03   0.1106425E+04   0.2103252E+04   0.1525481E+04   0.8098309E-01   0.2892375E+04
   0.3506768E+00   0.2729306E-03   0.1053917E+04   0.1922690E+04   0.1423502E+04   0.8911873E-01   0.2967106E+04
   0.3986258E+00   0.2809968E-03   0.1141588E+04   0.2233122E+04   0.1596655E+04   0.7572170E-01   0.2841121E+04
   0.3566184E+00   0.2739122E-03   0.1065320E+04   0.1960628E+04   0.1445232E+04   0.8732362E-01   0.2951052E+04
   0.3936086E+00   0.2801375E-03   0.1132866E+04   0.2200191E+04   0.1578772E+04   0.7701278E-01   0.2853929E+04
   0.3870385E+00   0.2790175E-03   0.1121290E+04   0.2157222E+04   0.1555272E+04   0.7874068E-01   0.2870832E+04
   0.3965849E+00   0.2806468E-03   0.1138053E+04   0.2219714E+04   0.1589387E+04   0.7624396E-01   0.2846321E+04
   0.3608451E+00   0.2746137E-03   0.1073335E+04   0.1987709E+04   0.1460643E+04   0.8607110E-01   0.2939710E+04
   0.3752135E+00   0.2770173E-03   0.1100003E+04   0.2080338E+04   0.1512738E+04   0.8196030E-01   0.2901629E+04
   0.3215609E+00   0.2681941E-03   0.9957029E+03   0.1739018E+04   0.1315882E+04   0.9852979E-01   0.3047658E+04
   0.3967580E+00   0.2806765E-03   0.1138353E+04   0.2220851E+04   0.1590004E+04   0.7619951E-01   0.2845879E+04
   0.3386092E+00   0.2709525E-03   0.1030267E+04   0.1846110E+04   0.1379125E+04   0.9289235E-01   0.3000108E+04
   0.3852827E+00   0.2787193E-03   0.1118166E+04   0.2145770E+04   0.1548976E+04   0.7920970E-01   0.2875374E+04
   0.3391286E+00   0.2710372E-03   0.1031299E+04   0.1849393E+04   0.1381042E+04   0.9272633E-01   0.2998677E+04
   0.3188049E+00   0.2677522E-03   0.9899853E+03   0.1721828E+04   0.1305597E+04   0.9947634E-01   0.3055448E+04
   0.3197091E+00   0.2678971E-03   0.9918653E+03   0.1727464E+04   0.1308974E+04   0.9916467E-01   0.3052889E+04
   0.3049747E+00   0.2655516E-03   0.9607317E+03   0.1636087E+04   0.1253731E+04   0.1043815E+00   0.3094985E+04
   0.3478114E+00   0.2724590E-03   0.1048362E+04   0.1904449E+04   0.1412994E+04   0.8999909E-01   0.2974894E+04
   0.3063904E+00   0.2657755E-03   0.9637698E+03   0.1644823E+04   0.1259060E+04   0.1038673E+00   0.3090903E+04
   0.3387039E+00   0.2709679E-03   0.1030456E+04   0.1846708E+04   0.1379475E+04   0.9286205E-01   0.2999847E+04
   0.3365351E+00   0.2706146E-03   0.1026135E+04   0.1833012E+04   0.1371466E+04   0.9355867E-01   0.3005835E+04
   0.3317502E+00   0.2698376E-03   0.1016526E+04   0.1802868E+04   0.1353759E+04   0.9511616E-01   0.3019107E+04
   0.3931221E+00   0.2800543E-03   0.1132015E+04   0.2197003E+04   0.1577035E+04   0.7713928E-01   0.2855176E+04
   0.3538711E+00   0.2734577E-03   0.1060067E+04   0.1943067E+04   0.1435194E+04   0.8814861E-01   0.2958459E+04
   0.3961091E+00   0.2805653E-03   0.1137226E+04   0.2216591E+04   0.1587692E+04   0.7636628E-01   0.2847535E+04
   0.3566415E+00   0.2739160E-03   0.1065364E+04   0.1960776E+04   0.1445316E+04   0.8731673E-01   0.2950990E+04
   0.3106194E+00   0.2664463E-03   0.9727854E+03   0.1670976E+04   0.1274951E+04   0.1023478E+00   0.3078758E+04
   0.3850358E+00   0.2786774E-03   0.1117726E+04   0.2144160E+04   0.1548090E+04   0.7927590E-01   0.2876014E+04
   0.3953068E+00   0.2804279E-03   0.1135830E+04   0.2211326E+04   0.1584831E+04   0.7657306E-01   0.2849584E+04
   0.3842132E+00   0.2785378E-03   0.1116257E+04   0.2138800E+04   0.1545137E+04   0.7949693E-01   0.2878146E+04
   0.3882519E+00   0.2792239E-03   0.1123441E+04   0.2165145E+04   0.1559619E+04   0.7841832E-01   0.2867699E+04
   0.3893761E+00   0.2794153E-03   0.1125429E+04   0.2172490E+04   0.1563644E+04   0.7812100E-01   0.2864801E+04
   0.3965515E+00   0.2806411E-03   0.1137995E+04   0.2219494E+04   0.1589268E+04   0.7625255E-01   0.2846406E+04
   0.3226019E+00   0.2683614E-03   0.9978532E+03   0.1745520E+04   0.1319763E+04   0.9817484E-01   0.3044723E+04
   0.3587415E+00   0.2742642E-03   0.1069356E+04   0.1974222E+04   0.1452978E+04   0.8669194E-01   0.2945347E+04
   0.3508567E+00   0.2729602E-03   0.1054265E+04   0.1923837E+04   0.1424161E+04   0.8906378E-01   0.2966618E+04
   0.3823251E+00   0.2782179E-03   0.1112875E+04   0.2126507E+04   0.1538355E+04   0.8000683E-01   0.2883050E+04
   0.3696840E+00   0.2760888E-03   0.1089846E+04   0.2044588E+04   0.1492744E+04   0.8351585E-01   0.2916197E+04
   0.3025516E+00   0.2651689E-03   0.9555087E+03   0.1621155E+04   0.1244599E+04   0.1052683E+00   0.3101989E+04
   0.3503681E+00   0.2728797E-03   0.1053320E+04   0.1920723E+04   0.1422370E+04   0.8921313E-01   0.2967943E+04
   0.3404130E+00   0.2712468E-03   0.1033845E+04   0.1857516E+04   0.1385779E+04   0.9231715E-01   0.2995141E+04
   0.3879406E+00   0.2791710E-03   0.1122890E+04   0.2163112E+04   0.1558504E+04   0.7850088E-01   0.2868503E+04
   0.3948567E+00   0.2803509E-03   0.1135046E+04   0.2208373E+04   0.1583226E+04   0.7668934E-01   0.2850735E+04
   0.3427542E+00   0.2716295E-03   0.1038466E+04   0.1872342E+04   0.1394404E+04   0.9157651E-01   0.2988712E+04
   0.3557814E+00   0.2737736E-03   0.1063723E+04   0.1955275E+04   0.1442176E+04   0.8757404E-01   0.2953306E+04
   0.3596990E+00   0.2744232E-03   0.1071170E+04   0.1980358E+04   0.1456468E+04   0.8640874E-01   0.2942779E+04
   0.3541405E+00   0.2735022E-03   0.1060583E+04   0.1944788E+04   0.1436179E+04   0.8806733E-01   0.2957732E+04
   0.3651785E+00   0.2753355E-03   0.1081472E+04   0.2015553E+04   0.1476403E+04   0.8480765E-01   0.2928148E+04
   0.3754082E+00   0.2770501E-03   0.1100358E+04   0.2081599E+04   0.1513441E+04   0.8190613E-01   0.2901118E+04
   0.3056408E+00   0.2656569E-03   0.9621623E+03   0.1640196E+04   0.1256238E+04   0.1041392E+00   0.3093064E+04
   0.3584053E+00   0.2742085E-03   0.1068718E+04   0.1972068E+04   0.1451752E+04   0.8679163E-01   0.2946249E+04
   0.3409627E+00   0.2713366E-03   0.1034932E+04   0.1860995E+04   0.1387805E+04   0.9214268E-01   0.2993630E+04
   0.3307030E+00   0.2696680E-03   0.1014409E+04   0.1796285E+04   0.1349877E+04   0.9546086E-01   0.3022023E+04
   0.3758059E+00   0.2771170E-03   0.1101083E+04   0.2084176E+04   0.1514876E+04   0.8179556E-01   0.2900075E+04
   0.3353835E+00   0.2704273E-03   0.1023832E+04   0.1825748E+04   0.1367209E+04   0.9393090E-01   0.3009021E+04
   0.3820439E+00   0.2781703E-03   0.1112370E+04   0.2124677E+04   0.1537344E+04   0.8008308E-01   0.2883781E+04
   0.3013123E+00   0.2649735E-03   0.9528257E+03   0.1613528E+04   0.1239924E+04   0.1057251E+00   0.3105580E+04
   0.3659121E+00   0.2754579E-03   0.1082842E+04   0.2020275E+04   0.1479066E+04   0.8459581E-01   0.2926197E+04
   0.3669601E+00   0.2756330E-03   0.1084794E+04   0.2027024E+04   0.1482870E+04   0.8429419E-01   0.2923414E+04
   0.3998538E+00   0.2812077E-03   0.1143707E+04   0.2241199E+04   0.1601023E+04   0.7540937E-01   0.2837999E+04
   0.3812028E+00   0.2780279E-03   0.1110858E+04   0.2119206E+04   0.1534320E+04   0.8031165E-01   0.2885970E+04
   0.3517387E+00   0.2731056E-03   0.1055967E+04   0.1929460E+04   0.1427391E+04   0.8879492E-01   0.2964227E+04
   0.3033610E+00   0.2652966E-03   0.9572566E+03   0.1626139E+04   0.1247651E+04   0.1049712E+00   0.3099647E+04
   0.3851530E+00   0.2786973E-03   0.1117935E+04   0.2144924E+04   0.1548510E+04   0.7924448E-01   0.2875710E+04
   0.3155588E+00   0.2672332E-03   0.9832037E+03   0.1701626E+04   0.1293462E+04   0.1006042E+00   0.3064661E+04
   0.3079608E+00   0.2660243E-03   0.9671281E+03   0.1654525E+04   0.1264966E+04   0.1033001E+00   0.3086385E+04
   0.3600686E+00   0.2744846E-03   0.1071869E+04   0.1982729E+04   0.1457815E+04   0.8629968E-01   0.2941789E+04
   0.3528892E+00   0.2732955E-03   0.1058181E+04   0.1936799E+04   0.1431602E+04   0.8844555E-01   0.2961113E+04
   0.3953366E+00   0.2804330E-03   0.1135882E+04   0.2211521E+04   0.1584937E+04   0.7656538E-01   0.2849508E+04
   0.3528396E+00   0.2732873E-03   0.1058086E+04   0.1936483E+04   0.1431421E+04   0.8846059E-01   0.2961247E+04
   0.3566352E+00   0.2739150E-03   0.1065352E+04   0.1960736E+04   0.1445293E+04   0.8731860E-01   0.2951007E+04
   0.3300425E+00   0.2695611E-03   0.1013071E+04   0.1792135E+04   0.1347427E+04   0.9567897E-01   0.3023865E+04
   0.3316277E+00   0.2698178E-03   0.1016279E+04   0.1802098E+04   0.1353305E+04   0.9515641E-01   0.3019448E+04
   0.3182226E+00   0.2676590E-03   0.9887726E+03   0.1718201E+04   0.1303422E+04   0.9967762E-01   0.3057098E+04
   0.3735875E+00   0.2767438E-03   0.1097029E+04   0.2069812E+04   0.1506866E+04   0.8241434E-01   0.2905902E+04
   0.3456876E+00   0.2721102E-03   0.1044220E+04   0.1890952E+04   0.1405194E+04   0.9065781E-01   0.2980685E+04
   0.3831435E+00   0.2783565E-03   0.1114343E+04   0.2131833E+04   0.1541296E+04   0.7978537E-01   0.2880923E+04
   0.3286159E+00   0.2693305E-03   0.1010173E+04   0.1783178E+04   0.1342132E+04   0.9615200E-01   0.3027848E+04
   0.3108596E+00   0.2664845E-03   0.9732949E+03   0.1672464E+04   0.1275853E+04   0.1022622E+00   0.3078071E+04
   0.3733229E+00   0.2766993E-03   0.1096544E+04   0.2068100E+04   0.1505910E+04   0.8248850E-01   0.2906598E+04
   0.3044896E+00   0.2654749E-03   0.9596884E+03   0.1633095E+04   0.1251903E+04   0.1045584E+00   0.3096385E+04
   0.3489499E+00   0.2726462E-03   0.1050573E+04   0.1911693E+04   0.1417171E+04   0.8964814E-01   0.2971796E+04
   0.3086146E+00   0.2661280E-03   0.9685225E+03   0.1658568E+04   0.1267423E+04   0.1030650E+00   0.3084507E+04
   0.3815356E+00   0.2780842E-03   0.1111456E+04   0.2121371E+04   0.1535517E+04   0.8022112E-01   0.2885104E+04
   0.3492423E+00   0.2726943E-03   0.1051141E+04   0.1913554E+04   0.1418243E+04   0.8955827E-01   0.2971001E+04
   0.3219348E+00   0.2682542E-03   0.9964758E+03   0.1741353E+04   0.1317276E+04   0.9840214E-01   0.3046603E+04
   0.3750049E+00   0.2769822E-03   0.1099622E+04   0.2078987E+04   0.1511985E+04   0.8201840E-01   0.2902177E+04
   0.3258313E+00   0.2688811E-03   0.1004490E+04   0.1765722E+04   0.1331785E+04   0.9708280E-01   0.3035644E+04
   0.3866275E+00   0.2789477E-03   0.1120560E+04   0.2154541E+04   0.1553799E+04   0.7885017E-01   0.2871894E+04
   0.3703475E+00   0.2762000E-03   0.1091071E+04   0.2048870E+04   0.1495147E+04   0.8332749E-01   0.2914444E+04
   0.3688938E+00   0.2759565E-03   0.1088383E+04   0.2039489E+04   0.1489881E+04   0.8374082E-01   0.2918288E+04
   0.3195255E+00   0.2678677E-03   0.9914838E+03   0.1726319E+04   0.1308288E+04   0.9922788E-01   0.3053408E+04
   0.3979051E+00   0.2808731E-03   0.1140342E+04   0.2228386E+04   0.1594089E+04   0.7590566E-01   0.2842955E+04
   0.3485563E+00   0.2725815E-03   0.1049809E+04   0.1909188E+04   0.1415727E+04   0.8976929E-01   0.2972866E+04
   0.3271622E+00   0.2690957E-03   0.1007211E+04   0.1774061E+04   0.1336732E+04   0.9663669E-01   0.3031914E+04
   0.3718369E+00   0.2764498E-03   0.1093816E+04   0.2058491E+04   0.1500537E+04   0.8290635E-01   0.2910513E+04
   0.3811911E+00   0.2780259E-03   0.1110837E+04   0.2119131E+04   0.1534278E+04   0.8031482E-01   0.2886000E+04
   0.3793491E+00   0.2777146E-03   0.1107514E+04   0.2107161E+04   0.1527648E+04   0.8081793E-01   0.2890803E+04
   0.3901079E+00   0.2795400E-03   0.1126720E+04   0.2177274E+04   0.1566263E+04   0.7792812E-01   0.2862917E+04
   0.3385170E+00   0.2709375E-03   0.1030084E+04   0.1845527E+04   0.1378785E+04   0.9292186E-01   0.3000363E+04
   0.3335021E+00   0.2701217E-03   0.1020057E+04   0.1813893E+04   0.1360248E+04   0.9454260E-01   0.3014238E+04
   0.3700760E+00   0.2761545E-03   0.1090570E+04   0.2047118E+04   0.1494164E+04   0.8340450E-01   0.2915161E+04
   0.3539954E+00   0.2734782E-03   0.1060305E+04   0.1943861E+04   0.1435649E+04   0.8811109E-01   0.2958124E+04
   0.3239499E+00   0.2685781E-03   0.1000630E+04   0.1753947E+04   0.1324783E+04   0.9771738E-01   0.3040928E+04
   0.3711389E+00   0.2763327E-03   0.1092531E+04   0.2053982E+04   0.1498011E+04   0.8310341E-01   0.2912354E+04
   0.3769777E+00   0.2773144E-03   0.1103216E+04   0.2091771E+04   0.1519103E+04   0.8147081E-01   0.2897004E+04
   0.3520651E+00   0.2731595E-03   0.1056596E+04   0.1931541E+04   0.1428586E+04   0.8869564E-01   0.2963343E+04
   0.3367651E+00   0.2706521E-03   0.1026594E+04   0.1834464E+04   0.1372316E+04   0.9348449E-01   0.3005199E+04
   0.3896879E+00   0.2794684E-03   0.1125979E+04   0.2174528E+04   0.1564760E+04   0.7803875E-01   0.2863998E+04
   0.3327035E+00   0.2699922E-03   0.1018449E+04   0.1808866E+04   0.1357290E+04   0.9480358E-01   0.3016456E+04
   0.3753936E+00   0.2770476E-03   0.1100331E+04   0.2081505E+04   0.1513388E+04   0.8191018E-01   0.2901156E+04
   0.3794002E+00   0.2777232E-03   0.1107606E+04   0.2107492E+04   0.1527832E+04   0.8080393E-01   0.2890670E+04
   0.3517086E+00   0.2731007E-03   0.1055909E+04   0.1929268E+04   0.1427281E+04   0.8880407E-01   0.2964309E+04
   0.3981199E+00   0.2809100E-03   0.1140713E+04   0.2229797E+04   0.1594854E+04   0.7585079E-01   0.2842409E+04
   0.3834472E+00   0.2784079E-03   0.1114887E+04   0.2133810E+04   0.1542387E+04   0.7970337E-01   0.2880134E+04
   0.3149189E+00   0.2671311E-03   0.9818608E+03   0.1697649E+04   0.1291067E+04   0.1008282E+00   0.3066482E+04
   0.3945071E+00   0.2802911E-03   0.1134436E+04   0.2206081E+04   0.1581979E+04   0.7677978E-01   0.2851629E+04
   0.3077986E+00   0.2659986E-03   0.9667818E+03   0.1653523E+04   0.1264356E+04   0.1033585E+00   0.3086851E+04
   0.3365748E+00   0.2706211E-03   0.1026214E+04   0.1833262E+04   0.1371612E+04   0.9354587E-01   0.3005725E+04
   0.3601779E+00   0.2745028E-03   0.1072075E+04   0.1983430E+04   0.1458213E+04   0.8626746E-01   0.2941496E+04
   0.3870574E+00   0.2790207E-03   0.1121323E+04   0.2157345E+04   0.1555340E+04   0.7873564E-01   0.2870783E+04
   0.3737089E+00   0.2767642E-03   0.1097252E+04   0.2070597E+04   0.1507304E+04   0.8238037E-01   0.2905583E+04
   0.3883542E+00   0.2792413E-03   0.1123622E+04   0.2165813E+04   0.1559986E+04   0.7839122E-01   0.2867435E+04
   0.3391506E+00   0.2710408E-03   0.1031343E+04   0.1849532E+04   0.1381123E+04   0.9271930E-01   0.2998616E+04
   0.3755812E+00   0.2770792E-03   0.1100673E+04   0.2082720E+04   0.1514065E+04   0.8185801E-01   0.2900664E+04
   0.3919440E+00   0.2798531E-03   0.1129950E+04   0.2189288E+04   0.1572827E+04   0.7744653E-01   0.2858198E+04
   0.3744988E+00   0.2768970E-03   0.1098697E+04   0.2075710E+04   0.1510158E+04   0.8215952E-01   0.2903506E+04
   0.3038479E+00   0.2653735E-03   0.9583065E+03   0.1629140E+04   0.1249486E+04   0.1047929E+00   0.3098239E+04
   0.3346561E+00   0.2703091E-03   0.1022374E+04   0.1821163E+04   0.1364518E+04   0.9416687E-01   0.3011037E+04
   0.3165642E+00   0.2673938E-03   0.9853095E+03   0.1707878E+04   0.1297223E+04   0.1002534E+00   0.3061803E+04
   0.3411928E+00   0.2713742E-03   0.1035387E+04   0.1862452E+04   0.1388653E+04   0.9206973E-01   0.2992998E+04
   0.3950649E+00   0.2803865E-03   0.1135408E+04   0.2209739E+04   0.1583968E+04   0.7663553E-01   0.2850203E+04
   0.3503269E+00   0.2728729E-03   0.1053241E+04   0.1920461E+04   0.1422220E+04   0.8922570E-01   0.2968055E+04
   0.3703750E+00   0.2762046E-03   0.1091122E+04   0.2049048E+04   0.1495246E+04   0.8331968E-01   0.2914371E+04
   0.3400834E+00   0.2711930E-03   0.1033192E+04   0.1855431E+04   0.1384564E+04   0.9242198E-01   0.2996048E+04
   0.3116986E+00   0.2666179E-03   0.9750719E+03   0.1677663E+04   0.1279000E+04   0.1019640E+00   0.3075670E+04
   0.3192119E+00   0.2678174E-03   0.9908320E+03   0.1724365E+04   0.1307117E+04   0.9933592E-01   0.3054296E+04
   0.3585172E+00   0.2742270E-03   0.1068930E+04   0.1972784E+04   0.1452160E+04   0.8675846E-01   0.2945949E+04
   0.3706669E+00   0.2762535E-03   0.1091661E+04   0.2050933E+04   0.1496303E+04   0.8323696E-01   0.2913600E+04
   0.3279710E+00   0.2692263E-03   0.1008860E+04   0.1779132E+04   0.1339737E+04   0.9636669E-01   0.3029651E+04
   0.3960151E+00   0.2805492E-03   0.1137062E+04   0.2215973E+04   0.1587356E+04   0.7639050E-01   0.2847775E+04
   0.3554054E+00   0.2737114E-03   0.1063005E+04   0.1952871E+04   0.1440802E+04   0.8768679E-01   0.2954319E+04
   0.3472486E+00   0.2723665E-03   0.1047266E+04   0.1900871E+04   0.1410928E+04   0.9017312E-01   0.2976427E+04
   0.3328803E+00   0.2700208E-03   0.1018805E+04   0.1809978E+04   0.1357945E+04   0.9474574E-01   0.3015965E+04
   0.3212621E+00   0.2681462E-03   0.9950848E+03   0.1737153E+04   0.1314768E+04   0.9863193E-01   0.3048501E+04
   0.3712003E+00   0.2763430E-03   0.1092644E+04   0.2054378E+04   0.1498233E+04   0.8308606E-01   0.2912192E+04
   0.3156497E+00   0.2672477E-03   0.9833943E+03   0.1702191E+04   0.1293802E+04   0.1005724E+00   0.3064403E+04
   0.3876151E+00   0.2791156E-03   0.1122313E+04   0.2160986E+04   0.1557338E+04   0.7858731E-01   0.2869343E+04
   0.3859938E+00   0.2788400E-03   0.1119433E+04   0.2150406E+04   0.1551527E+04   0.7901938E-01   0.2873534E+04
   0.3518992E+00   0.2731321E-03   0.1056276E+04   0.1930483E+04   0.1427979E+04   0.8874608E-01   0.2963792E+04
   0.3694499E+00   0.2760496E-03   0.1089413E+04   0.2043077E+04   0.1491896E+04   0.8358245E-01   0.2916817E+04
   0.3651536E+00   0.2753313E-03   0.1081426E+04   0.2015393E+04   0.1476312E+04   0.8481486E-01   0.2928214E+04
   0.3196540E+00   0.2678883E-03   0.9917507E+03   0.1727121E+04   0.1308768E+04   0.9918364E-01   0.3053045E+04
   0.3346968E+00   0.2703157E-03   0.1022456E+04   0.1821419E+04   0.1364669E+04   0.9415364E-01   0.3010924E+04
   0.3091260E+00   0.2662092E-03   0.9696119E+03   0.1661731E+04   0.1269344E+04   0.1028815E+00   0.3083039E+04
   0.3317417E+00   0.2698362E-03   0.1016509E+04   0.1802815E+04   0.1353727E+04   0.9511897E-01   0.3019131E+04
   0.3497285E+00   0.2727744E-03   0.1052083E+04   0.1916649E+04   0.1420026E+04   0.8940903E-01   0.2969680E+04
   0.3237059E+00   0.2685389E-03   0.1000128E+04   0.1752421E+04   0.1323875E+04   0.9780000E-01   0.3041615E+04
   0.3776216E+00   0.2774230E-03   0.1104385E+04   0.2095948E+04   0.1521425E+04   0.8129294E-01   0.2895318E+04
   0.3048669E+00   0.2655345E-03   0.9605000E+03   0.1635422E+04   0.1253325E+04   0.1044208E+00   0.3095296E+04
   0.3811419E+00   0.2780176E-03   0.1110748E+04   0.2118810E+04   0.1534101E+04   0.8032822E-01   0.2886129E+04
   0.3523141E+00   0.2732006E-03   0.1057075E+04   0.1933130E+04   0.1429497E+04   0.8862000E-01   0.2962669E+04
   0.3239183E+00   0.2685730E-03   0.1000565E+04   0.1753750E+04   0.1324666E+04   0.9772804E-01   0.3041017E+04
   0.3652262E+00   0.2753434E-03   0.1081561E+04   0.2015860E+04   0.1476576E+04   0.8479385E-01   0.2928021E+04
   0.3313712E+00   0.2697762E-03   0.1015760E+04   0.1800485E+04   0.1352354E+04   0.9524077E-01   0.3020162E+04
   0.3308827E+00   0.2696971E-03   0.1014772E+04   0.1797414E+04   0.1350543E+04   0.9540162E-01   0.3021523E+04
   0.3910883E+00   0.2797071E-03   0.1128446E+04   0.2183687E+04   0.1569769E+04   0.7767057E-01   0.2860396E+04
   0.3151344E+00   0.2671654E-03   0.9823131E+03   0.1698988E+04   0.1291874E+04   0.1007527E+00   0.3065869E+04
   0.3791438E+00   0.2776799E-03   0.1107143E+04   0.2105828E+04   0.1526909E+04   0.8087421E-01   0.2891339E+04
   0.3827659E+00   0.2782925E-03   0.1113666E+04   0.2129375E+04   0.1539939E+04   0.7988745E-01   0.2881904E+04
   0.3654509E+00   0.2753809E-03   0.1081981E+04   0.2017306E+04   0.1477392E+04   0.8472893E-01   0.2927423E+04
   0.3069175E+00   0.2658590E-03   0.9648984E+03   0.1648079E+04   0.1261043E+04   0.1036765E+00   0.3089386E+04
   0.3054523E+00   0.2656271E-03   0.9617577E+03   0.1639033E+04   0.1255529E+04   0.1042077E+00   0.3093607E+04
   0.3404177E+00   0.2712476E-03   0.1033854E+04   0.1857546E+04   0.1385796E+04   0.9231566E-01   0.2995128E+04
   0.3957571E+00   0.2805050E-03   0.1136614E+04   0.2214280E+04   0.1586437E+04   0.7645693E-01   0.2848434E+04
   0.3966800E+00   0.2806631E-03   0.1138218E+04   0.2220339E+04   0.1589726E+04   0.7621953E-01   0.2846078E+04
   0.3484493E+00   0.2725638E-03   0.1049602E+04   0.1908507E+04   0.1415335E+04   0.8980226E-01   0.2973157E+04
   0.3613762E+00   0.2747020E-03   0.1074337E+04   0.1991118E+04   0.1462577E+04   0.8591512E-01   0.2938289E+04
   0.3283191E+00   0.2692825E-03   0.1009569E+04   0.1781316E+04   0.1341030E+04   0.9625075E-01   0.3028677E+04
   0.3876488E+00   0.2791213E-03   0.1122373E+04   0.2161206E+04   0.1557459E+04   0.7857836E-01   0.2869256E+04
   0.3662226E+00   0.2755098E-03   0.1083420E+04   0.2022274E+04   0.1480193E+04   0.8450633E-01   0.2925372E+04
   0.3407743E+00   0.2713058E-03   0.1034559E+04   0.1859802E+04   0.1387111E+04   0.9220244E-01   0.2994148E+04
   0.3857533E+00   0.2787992E-03   0.1119005E+04   0.2148838E+04   0.1550664E+04   0.7908367E-01   0.2874156E+04
   0.3857704E+00   0.2788021E-03   0.1119035E+04   0.2148950E+04   0.1550726E+04   0.7907911E-01   0.2874112E+04
   0.3550956E+00   0.2736601E-03   0.1062412E+04   0.1950891E+04   0.1439670E+04   0.8777983E-01   0.2955155E+04
   0.3529400E+00   0.2733039E-03   0.1058279E+04   0.1937123E+04   0.1431788E+04   0.8843017E-01   0.2960976E+04
   0.3862262E+00   0.2788795E-03   0.1119846E+04   0.2151922E+04   0.1552360E+04   0.7895728E-01   0.2872932E+04
   0.3171610E+00   0.2674892E-03   0.9865573E+03   0.1711591E+04   0.1299455E+04   0.1000457E+00   0.3060109E+04
   0.3536396E+00   0.2734194E-03   0.1059623E+04   0.1941590E+04   0.1434347E+04   0.8821850E-01   0.2959085E+04
   0.3174786E+00   0.2675400E-03   0.9872207E+03   0.1713568E+04   0.1300642E+04   0.9993544E-01   0.3059207E+04
   0.3474420E+00   0.2723983E-03   0.1047643E+04   0.1902100E+04   0.1411638E+04   0.9011327E-01   0.2975900E+04
   0.3655577E+00   0.2753987E-03   0.1082180E+04   0.2017993E+04   0.1477780E+04   0.8469809E-01   0.2927139E+04
   0.3092784E+00   0.2662333E-03   0.9699361E+03   0.1662674E+04   0.1269916E+04   0.1028269E+00   0.3082602E+04
   0.3272223E+00   0.2691054E-03   0.1007334E+04   0.1774437E+04   0.1336956E+04   0.9661661E-01   0.3031746E+04
   0.3156624E+00   0.2672497E-03   0.9834209E+03   0.1702270E+04   0.1293850E+04   0.1005680E+00   0.3064366E+04
   0.3230600E+00   0.2684350E-03   0.9987976E+03   0.1748383E+04   0.1321469E+04   0.9801912E-01   0.3043433E+04
   0.3855454E+00   0.2787639E-03   0.1118634E+04   0.2147483E+04   0.1549919E+04   0.7913932E-01   0.2874694E+04
   0.3486270E+00   0.2725931E-03   0.1049947E+04   0.1909638E+04   0.1415986E+04   0.8974752E-01   0.2972674E+04
   0.3059869E+00   0.2657117E-03   0.9629050E+03   0.1642333E+04   0.1257541E+04   0.1040135E+00   0.3092066E+04
   0.3002514E+00   0.2648065E-03   0.9505230E+03   0.1607005E+04   0.1235919E+04   0.1061179E+00   0.3108659E+04
   0.3978088E+00   0.2808566E-03   0.1140175E+04   0.2227753E+04   0.1593746E+04   0.7593030E-01   0.2843201E+04
   0.3412726E+00   0.2713872E-03   0.1035544E+04   0.1862957E+04   0.1388947E+04   0.9204445E-01   0.2992778E+04
   0.3992928E+00   0.2811113E-03   0.1142740E+04   0.2237508E+04   0.1599028E+04   0.7555187E-01   0.2839424E+04
   0.3591898E+00   0.2743386E-03   0.1070206E+04   0.1977094E+04   0.1454612E+04   0.8655923E-01   0.2944144E+04
   0.3739838E+00   0.2768104E-03   0.1097755E+04   0.2072377E+04   0.1508298E+04   0.8230342E-01   0.2904859E+04
   0.3367747E+00   0.2706536E-03   0.1026614E+04   0.1834524E+04   0.1372351E+04   0.9348141E-01   0.3005173E+04
   0.3312718E+00   0.2697601E-03   0.1015559E+04   0.1799860E+04   0.1351985E+04   0.9527347E-01   0.3020439E+04
   0.3893733E+00   0.2794148E-03   0.1125424E+04   0.2172471E+04   0.1563634E+04   0.7812175E-01   0.2864809E+04
   0.3263026E+00   0.2689571E-03   0.1005455E+04   0.1768674E+04   0.1333537E+04   0.9692457E-01   0.3034322E+04
   0.3908755E+00   0.2796708E-03   0.1128072E+04   0.2182295E+04   0.1569008E+04   0.7772638E-01   0.2860943E+04
